CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C00147,5.467037037,0.408564815,5.467037037,0.408564815,0.529675929,135.13,130.09,135.0544952,50,1.3,2.2,3.0,2.950090305,351.5657969,6.974691495,5.073691594,5.073691594,4.877010098,2.772767332,2.772767332,1.858659407,1.858659407,1.245495821,1.245495821,0.783269938,0.783269938,-1.65,5.159860162,1.662923452,0.539770508,56.32106271,10.717646,11.84402079,11.46504,0.0,0.0,0.0,14.95193556,0.0,0.0,0.0,0.0,0.0,6.327320075,0.0,16.98174072,19.93591408,0.0,0.0,5.733667477,12.65464015,0.0,5.733667477,5.817862778,0.0,0.0,19.93591408,0.0,0.0,0.0,12.65464015,11.16387794,80.48,0.0,0.0,0.0,16.98174072,0.0,12.65464015,0.0,19.93591408,5.733667477,0.0,0.0,24.5,0.0,10,3,5,0,0,0,0,2,2,4,2,5,0,0,0,2,-0.0649,36.0961,0,0,0,4,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C00241,9.333333333,-0.166666667,9.333333333,0.083333333,0.395245433,44.033,42.017,44.01363868,17,2.666666667,2.666666667,2.666666667,2.803039488,31.01955001,3.577350269,1.48559856,1.48559856,1.732050808,0.49279928,0.49279928,0.11785113,0.11785113,0.0,0.0,0.0,0.0,-0.53,0.8748583,0.053225426,1.47,18.24066382,0.0,0.0,0.0,0.0,16.93829997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184,6.410095306,0.0,5.733667477,0.0,0.0,0.0,0.0,5.733667477,4.794537184,0.0,0.0,6.410095306,0.0,0.0,0.0,0.0,0.0,43.09,0.0,4.794537184,6.410095306,0.0,0.0,0.0,0.0,5.733667477,0.0,-0.166666667,0.0,13.83333333,0.0,3,2,2,0,0,0,0,0,0,1,1,3,0,0,0,0,-0.3856,9.5834,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0_0_1_0_0_0
C00380,10.24361111,-0.412037037,10.24361111,0.244212963,0.467041616,111.104,106.064,111.0432618,42,1.75,2.5,2.875,3.27741746,228.725074,5.983127663,4.087512694,4.087512694,3.7876937,2.100696478,2.100696478,1.31949242,1.31949242,0.691547289,0.691547289,0.38513249,0.38513249,-1.32,4.829700599,1.651203466,0.841205377,45.37211188,10.717646,5.817862778,0.0,0.0,5.689743398,0.0,4.794537184,4.983978521,0.0,0.0,6.066367069,6.196843572,0.0,0.0,5.817862778,9.967957042,0.0,0.0,5.733667477,22.74749122,0.0,11.42341088,5.817862778,0.0,0.0,9.967957042,0.0,0.0,0.0,17.05774782,0.0,71.77,5.689743398,4.794537184,5.817862778,0.0,0.0,12.26321064,0.0,9.967957042,5.733667477,0.0,0.0,23.83333333,0.0,8,3,4,0,0,0,0,1,1,3,2,4,0,0,0,1,-0.6479,29.2701,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C00395,11.84365741,-0.984722222,11.84365741,0.027610072,0.653627129,243.264,232.176,243.0439528,87,1.625,2.25,2.75,2.214562041,413.8000343,12.95566545,8.75947116,9.575967741,7.753724743,4.753844088,5.633496899,4.322216459,6.093101599,2.889358406,4.460889001,2.20889365,3.83429024,-1.24,9.948903002,2.907239824,1.237659976,96.35873157,0.0,0.0,0.0,0.0,95.80735388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.49013895,30.04846527,10.21669833,0.0,36.05205132,0.0,0.0,0.0,5.316788604,4.794537184,0.0,11.76188495,50.49759437,9.589074368,0.0,13.8474744,0.0,0.0,86.71,22.8000094,19.49013895,17.69114785,0.0,0.0,16.66179468,0.0,5.316788604,0.0,-0.467799824,0.0,47.60594797,0.666666667,16,2,6,0,2,2,0,0,0,4,2,8,2,2,2,2,-0.2392,56.0475,1,0,0,0,0,1,1,3,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C00426,11.88573936,-1.365095112,11.88573936,0.157751638,0.386874558,376.294,358.15,376.0879854,145,1.192307692,1.923076923,2.5,2.366220636,621.2011133,23.29216426,13.54927128,13.54927128,14.69150823,7.702314682,7.702314682,5.952040373,5.952040373,4.033567019,4.033567019,2.69291781,2.69291781,-1.38,14.64999453,6.351755495,2.974541527,147.4507808,0.0,0.0,0.0,0.0,146.8292346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4388276,11.87648502,5.316788604,0.0,68.59025144,6.606881965,0.0,0.0,5.316788604,0.0,0.0,0.0,90.36293601,44.22577281,0.0,6.9237372,0.0,0.0,151.24,54.92497117,19.80212916,18.61802808,6.606881965,0.0,6.9237372,0.0,5.316788604,34.63669844,-2.388558841,0.0,80.55522551,0.857142857,26,3,12,0,2,2,0,0,0,10,3,17,9,2,2,2,-2.6497,74.0133,1,1,1,0,0,1,1,2,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C00438,10.23685185,-1.472222222,10.23685185,0.696157407,0.41739429,176.128,168.064,176.0433214,68,1.333333333,1.833333333,2.083333333,4.135982327,197.884119,9.723614639,5.980979382,5.980979382,5.43042811,2.937413116,2.937413116,1.997274552,1.997274552,0.99333004,0.99333004,0.546421,0.546421,-1.79,10.21,4.164037352,4.094135409,67.16180617,21.26351087,6.041840829,0.0,0.0,17.96972509,4.794537184,9.589074368,0.0,0.0,0.0,0.0,0.0,6.420821623,24.59666634,17.96972509,5.316788604,5.733667477,12.46266245,0.0,0.0,0.0,11.05045608,4.794537184,0.0,0.0,34.22462071,9.589074368,0.0,6.420821623,0.0,0.0,129.72,30.43238754,14.38361155,0.0,0.0,0.0,0.0,5.316788604,5.733667477,10.21305479,0.0,0.0,47.33333333,0.4,12,5,7,0,0,0,0,0,0,3,4,7,4,0,0,0,-1.4174,36.3957,2,0,0,0,0,2,2,3,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0_0_1_0_0_0
C00439,10.34318594,-1.153009259,10.34318594,0.027731482,0.320258279,174.156,164.076,174.0640568,68,1.5,2.083333333,2.416666667,3.862999569,191.9871068,9.560477932,6.279837873,6.279837873,5.574586063,3.271964105,3.271964105,2.134241438,2.134241438,1.229491684,1.229491684,0.646502198,0.646502198,-1.59,10.41,5.112229313,4.261190526,68.71068649,15.52984339,6.041840829,0.0,0.0,11.93861058,10.20382079,4.794537184,0.0,0.0,0.0,6.420821623,6.420821623,6.338535363,19.80212916,18.27714594,5.316788604,0.0,18.88348408,0.0,0.0,0.0,5.316788604,0.0,0.0,0.0,34.53204156,9.589074368,5.409283606,12.84164325,0.0,0.0,110.48,17.98045141,9.589074368,12.84164325,0.0,6.338535363,0.0,0.0,5.316788604,15.6223384,0.0,0.0,43.16666667,0.5,12,4,6,0,0,0,0,0,0,3,4,6,6,0,0,0,-0.49893,40.213,2,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C00499,10.22990741,-1.597222222,10.22990741,1.073009259,0.308218155,176.132,168.068,176.0545547,68,1.083333333,1.416666667,1.583333333,4.135982327,199.1034,9.723614639,5.904009275,5.904009275,5.43042811,2.779354906,2.779354906,1.788427045,1.788427045,0.820143507,0.820143507,0.444077476,0.444077476,-1.99,10.01,4.007779397,3.928261559,66.89238318,27.20743956,0.0,0.0,6.165775612,18.03153431,0.0,14.38361155,0.0,0.0,0.0,0.0,0.0,0.0,19.49013895,18.03153431,10.63357721,11.46733495,6.165775612,0.0,0.0,0.0,22.10091216,9.589074368,0.0,0.0,29.30383732,4.794537184,0.0,0.0,0.0,0.0,147.54,24.19730992,14.38361155,0.0,0.0,0.0,0.0,10.63357721,11.46733495,5.106527395,0.0,0.0,46.33333333,0.25,12,7,8,0,0,0,0,0,0,3,5,8,3,0,0,0,-2.2663,36.862,1,0,0,0,0,1,1,3,2,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0_0_1_0_0_0
C00550,12.10555624,-4.251790896,12.10555624,0.071369862,0.084324656,492.638,443.246,492.3322753,195,1.03030303,1.575757576,2.090909091,4.162106315,600.5024715,25.87418643,21.33785034,22.23227753,15.96614426,12.50754291,14.00298803,9.707322946,11.16083227,5.397955129,6.382177642,3.239305492,3.975196292,-0.76,30.27101737,17.64244023,20.33711684,201.4896747,0.0,0.0,0.0,0.0,156.1639441,0.0,0.0,0.0,0.0,45.44866694,0.0,0.0,0.0,32.89004965,14.23279243,5.316788604,0.0,96.11940389,40.90153628,12.15204021,0.0,5.316788604,4.794537184,0.0,7.822697123,73.94040866,13.61254261,0.0,83.97359667,12.15204021,0.0,105.09,19.96850434,19.35952447,19.62385924,11.02778726,12.84164325,64.20821623,6.076020107,12.2405258,9.047494323,-0.597226687,22.74220689,55.49390868,0.875,33,3,8,0,0,0,0,0,0,5,3,10,22,0,0,0,5.0719,133.1732,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0_0_1_0_0_0
C00675,10.51082011,-4.455277778,10.51082011,0.0383516,0.508248918,197.103,187.023,197.0214997,71,1.75,2.416666667,2.916666667,2.537085519,217.0701508,10.06047793,6.159863623,7.054290814,5.920833517,3.346561124,4.876857867,2.393915464,3.585887876,1.466875243,2.012290671,0.961290324,1.535861323,0.03,8.620407991,3.064077896,2.258389558,69.35259072,0.0,0.0,0.0,0.0,68.38422445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.719009,7.822697123,0.0,0.0,25.23563636,6.606881965,0.0,0.0,0.0,0.0,0.0,7.822697123,40.3150473,13.8256584,0.0,6.420821623,0.0,0.0,96.22,20.0306299,4.565048285,13.21376393,6.420821623,0.0,0.0,0.0,4.523747162,19.63021355,-0.0383516,15.00503307,25.83887409,1.0,12,3,6,0,1,1,0,0,0,4,3,8,3,1,1,1,-0.8791,37.2809,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0_0_1_0_0_0
