CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1,EC2,EC3,EC4,EC5,EC6
C00036,9.97287037,-1.710740741,9.97287037,0.949074074,0.383748266,132.071,128.039,132.0058732,50,1.111111111,1.555555556,1.666666667,3.788427601,158.34093,7.439157589,4.326278844,4.326278844,4.03658126,2.016692812,2.016692812,1.298844138,1.298844138,0.550318795,0.550318795,0.212963369,0.212963369,-1.39,7.61,2.806214595,3.215143722,49.90711118,10.21305479,6.420821623,0,0,11.93861058,9.589074368,4.794537184,0,0,0,0,0,0,24.59666634,17.72185552,0,0,6.420821623,0,0,0,0,0,0,0,27.93491031,14.38361155,0,6.420821623,0,0,91.67,24.14267715,14.38361155,0,0,0,0,0,0,10.21305479,0,0,39.5,0.25,9,2,5,0,0,0,0,0,0,3,2,5,3,0,0,0,-0.8852,24.8956,2,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
C00014,0,0,0,0,0.397555062,17.031,14.007,17.0265491,8,1,1,1,0,0,0,0.707106781,0.707106781,0,0,0,0,0,0,0,0,0,-0.04,0.96,-27.04,-104.04,7.504228124,6.15054635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15054635,0,0,0,0,0,6.15054635,0,0,0,0,0,0,0,0,0,35,0,0,6.15054635,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0.162,5.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
C00152,9.993055556,-1.214074074,9.993055556,0.310185185,0.423939477,132.119,124.055,132.0534921,52,1.555555556,2,2.111111111,3.632432152,133.7744375,7.439157589,4.702867765,4.702867765,4.03658126,2.304340372,2.304340372,1.615167728,1.615167728,0.738295074,0.738295074,0.304056349,0.304056349,-1.1,7.9,3.032306527,3.479710145,51.63113672,16.57386235,6.041840829,0,5.907179729,5.969305288,9.589074368,0,0,0,0,0,0,6.420821623,14.69560176,11.87648502,0,11.46733495,12.46266245,0,0,0,11.46733495,0,0,0,23.02485324,9.589074368,0,6.420821623,0,0,106.41,17.91832585,9.589074368,6.420821623,0,0,0,0,5.733667477,10.84019487,0,0,34.16666667,0.5,9,5,5,0,0,0,0,0,0,3,3,5,3,0,0,0,-1.7263,29.4226,1,0,0,0,0,1,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
C00164,9.873333333,-1.0625,9.873333333,0.3125,0.500996499,102.089,96.041,102.0316941,40,1.571428571,2,2,3.31801959,83.10802962,5.86180732,3.970816958,3.970816958,3.125897658,1.838961869,1.838961869,1.272530342,1.272530342,0.400171204,0.400171204,0.212963369,0.212963369,-0.86,6.14,2.336829675,5.14,40.95135532,5.106527395,12.20406657,0,0,5.969305288,9.589074368,0,0,0,0,6.9237372,0,0,14.69560176,11.75255023,0,0,13.34455882,0,0,0,0,0,0,0,16.85907763,9.589074368,0,13.34455882,0,0,54.37,5.969305288,9.589074368,12.20406657,0,0,6.9237372,0,0,5.106527395,0,0,26.83333333,0.5,7,1,3,0,0,0,0,0,0,2,1,3,2,0,0,0,0.0501,22.9338,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
C00009,8.8819444444,-4.6388888889,8.8819444444,4.6388888889,0.3418906594,97.994,94.97,97.976895206,32,1.2,1.2,1.2,3.4720664956,49.7835398657,4.5,2.1971026725,3.0915298635,2,0.7825741858,2.3477225575,0.5132771316,1.5398313947,0,0,0,0,0.11,5.11,1.0648297578,1512.242231405,28.3066208445,14.6802348083,0,0,0,7.8226971231,0,4.5650482849,0,0,0,0,0,0,19.2452830932,7.8226971231,0,0,0,0,0,0,0,0,0,7.8226971231,14.6802348083,4.5650482849,0,0,0,0,77.76,7.8226971231,0,0,0,0,0,0,0,19.2452830932,0,8.8819444444,16.9236111111,0,5,3,4,0,0,0,0,0,0,1,3,5,0,0,0,0,-0.9286,14.2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
C00094,8.666666667,-2.611111111,8.666666667,2.611111111,0.393634431,82.08,80.064,81.97246492,26,1.5,1.5,1.5,2.803039488,26.26466251,3.577350269,1.710923772,2.527420353,1.732050808,0.531815038,1.595445115,0.230720857,0.69216257,0,0,0,0,0.07,4.07,1.395732899,483.6618367,25.75503837,0,0,0,0,0,9.105499747,0,4.208898492,0,0,0,0,0,13.31439824,11.36131649,0,0,0,0,0,0,0,0,0,0,13.31439824,11.36131649,0,0,0,0,57.53,11.36131649,0,0,0,0,0,0,0,13.31439824,0,22.83333333,0,0,4,2,3,0,0,0,0,0,0,1,2,4,0,0,0,0,-0.3189,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
C00116,8.166666667,-0.953703704,8.166666667,0.364583333,0.381494432,92.094,84.03,92.04734412,38,1.166666667,1.5,1.5,2.754184786,25.21928095,4.991563832,3.333204618,3.333204618,2.808060413,1.707151003,1.707151003,1.018971878,1.018971878,0.421498206,0.421498206,0.057735027,0.057735027,-0.12,5.88,3.084918033,2.137731959,35.85183651,15.31958218,6.103966388,0,0,0,0,0,0,0,0,0,0,13.21376393,15.31958218,0,0,0,6.103966388,13.21376393,0,0,0,0,0,0,34.6373125,0,0,0,0,0,60.69,6.103966388,0,13.21376393,0,0,0,0,0,15.31958218,0,0,22.33333333,1,6,3,3,0,0,0,0,0,0,3,3,3,2,0,0,0,-1.6681,20.1784,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
C01953,12.15360493,-0.117309959,12.15360493,0.117309959,0.722420702,316.485,284.229,316.2402303,128,1.130434783,1.913043478,2.652173913,1.661963124,550.0448238,16.40541292,14.97641775,14.97641775,10.85984445,9.74076358,9.74076358,9.441075576,9.441075576,8.568635834,8.568635834,7.309492853,7.309492853,-0.63,15.87208914,5.181023216,2.128881643,140.2809215,5.106527395,5.783244946,0,0,0,4.794537184,0,0,0,25.49659904,86.87400926,5.917906046,6.103966388,9.901064579,5.783244946,0,34.50160512,78.24175097,0,11.64912464,0,0,0,0,0,16.99373873,4.794537184,34.50160512,72.13778458,11.64912464,0,37.3,0,9.901064579,11.51895686,17.11614146,43.43700463,25.68328649,5.57310453,19.92349451,0,0,0,45.5,0.857142857,23,1,2,4,0,4,0,0,0,2,1,2,1,0,3,4,4.5153,91.8808,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
C00042,9.640416667,-1.076481482,9.640416667,0.296296296,0.543771403,118.088,112.04,118.0266087,46,1,1.25,1.375,3.181845867,92.60593782,6.568914101,4.125137334,4.125137334,3.625897658,2.062568667,2.062568667,1.287477086,1.287477086,0.552730943,0.552730943,0.213865472,0.213865472,-1.06,6.94,3.009687482,4.94,45.74558908,10.21305479,0,0,0,11.93861058,9.589074368,0,0,0,0,0,0,12.84164325,19.80212916,11.93861058,0,0,12.84164325,0,0,0,0,0,0,0,22.15166537,9.589074368,0,12.84164325,0,0,74.6,11.93861058,9.589074368,12.84164325,0,0,0,0,0,10.21305479,0,0,32.33333333,0.5,8,2,4,0,0,0,0,0,0,2,2,4,3,0,0,0,-0.0642,24.5056,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
C00058,8.361111111,-0.25,8.361111111,0.25,0.380160721,46.025,44.009,46.0054793,18,2,2,2,2.187496097,10.26466251,2.707106781,1.432812155,1.432812155,1.414213562,0.49390115,0.49390115,0.105409255,0.105409255,0,0,0,0,-0.53,2.47,1.47,1.47,17.69500688,5.106527395,0,0,0,0,4.794537184,0,0,0,0,0,0,0,9.901064579,6.472220865,0,0,0,0,0,0,0,0,0,0,11.57874826,4.794537184,0,0,0,0,37.3,0,0,6.472220865,0,0,0,0,0,9.901064579,0,0,15,0,3,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,-0.2992,8.6928,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
