CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1,EC2,EC3,EC4,EC5,EC6
C00014,0,0,0,0,0.3975550616,17.031,14.007,17.026549096,8,1,1,1,0,0,0,0.7071067812,0.7071067812,0,0,0,0,0,0,0,0,0,-0.04,0.96,-27.04,-104.04,7.5042281239,6.1505463503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1505463503,0,0,0,0,0,6.1505463503,0,0,0,0,0,0,0,0,0,35,0,0,6.1505463503,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0.162,5.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
C00027,6,6,6,6,0.2924874734,34.014,31.998,34.005479304,14,1,1,1,1,0,2,0.894427191,0.894427191,1,0.2,0.2,0,0,0,0,0,0,-0.08,1.92,0.92,-14.58,11.8920717336,0,0,0,0,0,10.5144707886,0,0,0,0,0,0,0,10.5144707886,0,0,0,0,0,0,0,0,0,0,0,10.5144707886,0,0,0,0,0,40.46,0,0,0,0,0,0,0,0,10.5144707886,0,0,12,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0.0174,5.2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
C00036,9.9728703704,-1.7107407407,9.9728703704,0.9490740741,0.3837482663,132.071,128.039,132.005873228,50,1.1111111111,1.5555555556,1.6666666667,3.7884276005,158.3409300494,7.4391575888,4.3262788436,4.3262788436,4.0365812602,2.0166928124,2.0166928124,1.2988441381,1.2988441381,0.5503187947,0.5503187947,0.2129633689,0.2129633689,-1.39,7.61,2.8062145953,3.2151437216,49.9071111755,10.2130547897,6.4208216229,0,0,11.9386105759,9.5890743681,4.7945371841,0,0,0,0,0,0,24.5966663419,17.7218555223,0,0,6.4208216229,0,0,0,0,0,0,0,27.934910312,14.3836115522,0,6.4208216229,0,0,91.67,24.1426771452,14.3836115522,0,0,0,0,0,0,10.2130547897,0,0,39.5,0.25,9,2,5,0,0,0,0,0,0,3,2,5,3,0,0,0,-0.8852,24.8956,2,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
C00037,9.2430555556,-0.9675925926,9.2430555556,0.2777777778,0.4211708879,75.067,70.027,75.0320284,30,2,2.2,2.2,2.8473789231,42.9126093832,4.2844570504,2.6399189363,2.6399189363,2.27005561,1.189532624,1.189532624,0.5978626885,0.5978626885,0.1746204263,0.1746204263,0,0,-0.57,4.43,1.7215451895,3.43,29.3998396915,10.840194872,0,0,0,5.969305288,4.7945371841,0,0,0,0,0,0,6.5447564059,9.9010645789,5.969305288,0,5.7336674772,0,6.5447564059,0,0,5.7336674772,0,0,0,17.6205890887,4.7945371841,0,0,0,0,63.32,5.969305288,4.7945371841,6.5447564059,0,0,0,0,5.7336674772,5.1065273948,0,0,20.1666666667,0.5,5,3,3,0,0,0,0,0,0,2,2,3,1,0,0,0,-0.9703,16.6902,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
C00039,12.451282796,-4.490659888,12.451282796,0.0132069936,0.276888673,475.3,450.1,475.07703912,173,0.8333333333,1.3,1.8333333333,1.4996462444,749.8279146397,24.3885405781,15.796309297,17.585163679,15.3709423582,9.2070747373,12.1979649673,6.7969976328,9.6092555217,4.587377243,6.6124984084,2.9647734664,4.8851432637,0.02,20.6145197017,8.419629368,5.6786727006,172.9019201331,0,0,0,0,172.6085013019,0,0,0,0,0,0,0,0,61.4355520733,15.6453942463,0,0,75.7069090888,19.8206458935,0,0,0,0,0,15.6453942463,96.2649681088,41.4356740781,0,19.2624648688,0,0,179.67,52.2691925728,29.129974565,39.6412917871,19.2624648688,0,0,0,0,32.3055775082,-0.5685366843,45.5276018957,43.1520458997,1,30,4,13,0,3,3,0,0,0,11,4,18,11,3,3,3,-0.6631,94.2272,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1
C00042,9.6404166667,-1.0764814815,9.6404166667,0.2962962963,0.5437714032,118.088,112.04,118.026608672,46,1,1.25,1.375,3.1818458671,92.6059378176,6.5689141008,4.1251373343,4.1251373343,3.6258976577,2.0625686672,2.0625686672,1.2874770864,1.2874770864,0.552730943,0.552730943,0.2138654715,0.2138654715,-1.06,6.94,3.0096874818,4.94,45.7455890755,10.2130547897,0,0,0,11.9386105759,9.5890743681,0,0,0,0,0,0,12.8416432459,19.8021291578,11.9386105759,0,0,12.8416432459,0,0,0,0,0,0,0,22.1516653656,9.5890743681,0,12.8416432459,0,0,74.6,11.9386105759,9.5890743681,12.8416432459,0,0,0,0,0,10.2130547897,0,0,32.3333333333,0.5,8,2,4,0,0,0,0,0,0,2,2,4,3,0,0,0,-0.0642,24.5056,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
C00048,9,-1.4259259259,9,0.1666666667,0.3292675031,74.035,72.019,74.000393924,28,1.8,2,2,3.2048054179,55.9134029982,4.2844570504,2.3410604456,2.3410604456,2.27005561,0.952108338,0.952108338,0.4560887982,0.4560887982,0.1008171501,0.1008171501,0,0,-0.86,4.14,1.4584713376,3.14,28.2214710945,5.1065273948,0,0,6.2861605231,5.969305288,4.7945371841,4.7945371841,0,0,0,0,0,0,14.695601763,12.2554658111,0,0,0,0,0,0,0,0,0,0,17.3619932059,9.5890743681,0,0,0,0,54.37,5.969305288,0,6.2861605231,0,0,0,0,0,14.695601763,0,0,23.6666666667,0,5,1,3,0,0,0,0,0,0,2,1,3,1,0,0,0,-0.7301,13.6998,1,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
C00058,8.3611111111,-0.25,8.3611111111,0.25,0.380160721,46.025,44.009,46.005479304,18,2,2,2,2.1874960974,10.2646625065,2.7071067812,1.4328121552,1.4328121552,1.4142135624,0.4939011501,0.4939011501,0.1054092553,0.1054092553,0,0,0,0,-0.53,2.47,1.47,1.47,17.6950068801,5.1065273948,0,0,0,0,4.7945371841,0,0,0,0,0,0,0,9.9010645789,6.4722208647,0,0,0,0,0,0,0,0,0,0,11.5787482596,4.7945371841,0,0,0,0,37.3,0,0,6.4722208647,0,0,0,0,0,9.9010645789,0,0,15,0,3,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,-0.2992,8.6928,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
C00059,8.7430555556,-4.6666666667,8.7430555556,4.6666666667,0.3945181101,98.079,96.063,97.967379544,32,1.2,1.2,1.2,4.062942299,86.8163583427,4.5,2.1191720624,2.9356686433,2,0.698481705,2.095445115,0.4478334368,1.3435003105,0,0,0,0,-0.13,4.87,0.9251210353,800.769408284,29.0061825517,0,0,0,0,10.3990005816,9.1054997474,0,8.4177969843,0,0,0,0,0,17.5232967317,10.3990005816,0,0,0,0,0,0,0,0,0,0,17.5232967317,10.3990005816,0,0,0,0,74.6,10.3990005816,0,0,0,0,0,0,0,17.5232967317,0,31.5833333333,0,0,5,2,4,0,0,0,0,0,0,2,2,5,0,0,0,0,-0.6528,14.1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
C00074,9.8941666667,-4.756095679,9.8941666667,0.9783950617,0.3031365085,168.041,163.001,167.98237451,58,1.5,1.9,2,4.0673021802,201.038468421,8.3618073196,4.7207060346,5.6151332256,4.327185822,2.0005568505,3.5308535938,1.3101929433,2.4739210305,0.4676466649,0.9258681181,0.1825923839,0.5477771518,-0.84,9.16,2.8291049169,4.080319108,55.9869114851,9.6302745566,0,0,5.7591648717,13.7920024111,9.7868232055,9.359585469,0,0,0,6.5789356836,0,0,28.7766832311,13.7920024111,0,0,0,0,12.3381005553,0,0,0,0,7.8226971231,20.8626558883,13.8833326307,0,0,12.3381005553,0,104.06,19.5511672827,9.359585469,0,0,0,0,0,11.1026828453,14.8933506003,0,13.4659259259,29.172962963,0,10,3,6,0,0,0,0,0,0,3,3,7,3,0,0,0,-0.306,29.9049,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0
